sample	cell	cluster	PC1	PC2	PC3
WTC11C6_cell76	WTC11	6	-26.87094129118924	-12.057183395790714	0.7697011051881013
WTC11C6_cell77	WTC11	0	-12.618958370700321	-28.839239863476344	5.758602843307652
WTC11C6_cell78	WTC11	0	-20.478375403896454	-13.908544740999263	3.400282647513785
WTC11C6_cell79	WTC11	0	-8.977741046865559	-19.0918866691224	6.983662265121323
WTC11C6_cell80	WTC11	0	-6.329792460243516	-25.811308553591118	1.3253247470150906
WTC11C6_cell81	WTC11	6	-37.28638337444391	-17.15444140024049	5.675260321895558
WTC11C6_cell82	WTC11	0	-26.543990366208597	-18.828022564282353	-1.243448526432892
WTC11C6_cell83	WTC11	0	-25.912712250553366	-18.71939122566313	2.8161538817521397
WTC11C6_cell84	WTC11	4	-88.55425678710908	87.5567893845744	-11.075790341710018
WTC11C6_cell85	WTC11	6	-29.916329136985464	-14.162090486636286	0.7706809682490425
WTC11C6_cell86	WTC11	0	-7.1086984450389785	-19.125906120909544	2.4938005413417574
WTC11C6_cell87	WTC11	0	-14.16307126980987	-29.253691457982672	3.0572041721497123
WTC11C6_cell88	WTC11	0	-20.556246567493545	-14.726479829499096	4.376838156039317
WTC11C6_cell89	WTC11	2	-44.64623487370391	-0.7371746651960005	-6.706001204527481
WTC11C6_cell90	WTC11	6	-31.41169663057942	-15.60838828105418	2.260702602490646
WTC11C6_cell91	WTC11	0	-14.390915461587452	-23.335441749149783	2.0366316547880685
WTC11C6_cell92	WTC11	0	-29.8670249142127	-9.39613747982689	-5.094684124905617
WTC11C6_cell93	WTC11	0	-14.488808577696222	-20.610688657972997	1.2644657703970663
WTC11C6_cell94	WTC11	0	-24.222728050380294	-17.338576860745565	-0.43470726948737143
WTC11C28_cell01	WTC11	0	-22.01520812030148	-17.59142706410186	5.691937121309829
WTC11C28_cell02	WTC11	2	-44.66384692118936	15.693385122899423	2.1200533822000134
WTC11C28_cell03	WTC11	2	-40.112808396923164	-1.8763653387602481	4.153562646563047
WTC11C28_cell04	WTC11	4	-46.9932876830845	39.85230412906906	-5.859993099299482
WTC11C28_cell05	WTC11	4	-77.91140396167854	71.41959430238171	-2.059994018254072
WTC11C28_cell06	WTC11	2	-39.571677131127245	21.804027893140308	-1.0368877674646118
WTC11C28_cell07	WTC11	6	-32.30943448451499	-7.812878569394311	1.5293010554427937
WTC11C28_cell08	WTC11	6	-32.934442342144166	-13.640363514048707	5.31010343911824
WTC11C28_cell09	WTC11	6	-32.81733577255036	7.504865314643437	2.966158394743156
WTC11C28_cell10	WTC11	2	-41.83330253592327	9.162009043907503	-0.09058164251276926
WTC11C28_cell11	WTC11	4	-68.70960128213261	66.88787440349219	-5.19893859026858
WTC11C28_cell12	WTC11	2	-40.025576180520225	2.4804398175776017	0.0014779420815108518
WTC11C28_cell13	WTC11	2	-39.87534944759459	16.505721544305597	0.3781902191841282
WTC11C28_cell14	WTC11	2	-41.7763705380712	23.422716610778995	2.6324966369206226
WTC11C28_cell15	WTC11	6	-28.876684505827974	-10.818778244239015	3.465732480342797
WTC11C28_cell16	WTC11	2	-40.759254314675566	-8.74434805146877	-1.7894387407536596
WTC11C28_cell17	WTC11	0	-11.914894687995005	-30.2500138965305	8.76385093834344
WTC11C28_cell18	WTC11	6	-23.67121843602394	-12.101836443856156	5.535200836714751
WTC11C28_cell19	WTC11	2	-45.28887634777429	2.9422341963141077	6.391259783939491
WTC11C28_cell20	WTC11	2	-42.52856542620988	1.1853511762776088	2.5553721885027265
WTC11C28_cell21	WTC11	2	-42.05755470071118	-1.3552537191904186	2.1005742887135415
WTC11C28_cell22	WTC11	2	-43.085022072447074	7.4313077026383905	-1.3833845548648183
WTC11C28_cell23	WTC11	2	-44.74611774274072	15.346341253716481	-0.3088727118825754
WTC11C28_cell24	WTC11	6	-23.870624925091	-10.339971201805723	3.966180534154057
WTC11C28_cell25	WTC11	0	-23.92147203889425	-17.543286951330657	10.73041610373882
WTC11C28_cell26	WTC11	6	-28.357666332401465	-7.897825281707418	9.218502744035986
WTC11C28_cell27	WTC11	6	-32.02547121398413	-14.453816126260454	6.759320145848922
WTC11C28_cell28	WTC11	4	-82.55822350451544	91.52861021153278	-11.629572966349276
WTC11C28_cell29	WTC11	6	-27.15646194654988	-20.779720757377785	6.192004543835504
WTC11C28_cell30	WTC11	6	-28.962737669161537	-14.95411836303155	3.5122499832174703
WTC11C28_cell31	WTC11	6	-31.89939309564856	0.6048853179191572	3.7622227680675304
WTC11C28_cell32	WTC11	4	-49.9418058572001	45.32702579423186	-1.891809646162008
WTC11C28_cell33	WTC11	6	-33.35811153736858	-17.931465861718227	4.1071796409099335
WTC11C28_cell34	WTC11	0	-17.608342075071082	-10.835144859259183	2.0515791815554913
WTC11C28_cell35	WTC11	4	-61.83672491559775	64.81829325998856	-6.2797769071485
WTC11C28_cell36	WTC11	6	-26.573246813706575	-17.070818442173803	6.8158588876850565
WTC11C28_cell37	WTC11	6	-30.034583251166836	-6.691845962486454	3.3167654581650314
WTC11C28_cell38	WTC11	4	-51.075274803659255	45.65189406452479	-4.672186667393187
WTC11C28_cell39	WTC11	6	-33.35905181421448	-10.516118448404175	7.752584631547643
WTC11C28_cell40	WTC11	6	-25.643487048236683	-7.4485827446367	6.068622375203174
WTC11C28_cell41	WTC11	6	-38.09081503583564	-6.68060355963623	1.692351748228518
WTC11C28_cell42	WTC11	6	-37.629412402896	-3.5238397835282753	7.106814325438592
